transaction_id,transaction_date,transaction_hour,store_id,pos_id,customer_id,product_id,quantity,unit_price,gross_amount,promo_id,discount_amount,payment_method
TXN00001,2025-11-07,10:10:17,S03,POS_2,C000,P001,3,22000,66000,NULL,0,momo
TXN00002,2025-05-04,10:47:49,S01,POS_1,C001,P007,1,22000,30000,NULL,0,card
TXN00003,2025-05-01,10:30:36,S05,POS_2,C001,P016,1,18000,50000,NULL,0,card
TXN00003,2025-05-01,10:03:40,S05,POS_2,C001,P007,3,22000,60000,NULL,0,card
TXN00004,2025-10-12,7:53:22,S05,POS_2,C000,P007,2,22000,60000,NULL,0,cash
TXN00005,2025-04-19,10:55:56,S01,POS_1,C000,P001,3,22000,150000,NULL,0,momo
TXN00006,2025-07-25,9:42:05,S04,POS_1,C000,P017,3,9000,150000,NULL,0,card
TXN00006,2025-07-25,7:59:43,S04,POS_1,C000,P017,3,9000,150000,NULL,0,card
TXN00006,2025-07-25,7:06:10,S04,POS_1,C000,P012,1,18000,20000,NULL,0,card
TXN00007,2025-11-21,9:50:24,S05,POS_2,C000,P017,1,9000,50000,NULL,0,zalopay
TXN00008,2025-06-13,10:45:26,S05,POS_2,C000,P017,1,9000,50000,NULL,0,zalopay
TXN00008,2025-06-13,10:53:57,S05,POS_2,C000,P016,2,18000,100000,NULL,0,zalopay
TXN00009,2025-09-08,10:40:36,S04,POS_1,C002,P017,3,9000,60000,NULL,0,zalopay
TXN00010,2025-09-28,10:03:32,S02,POS_1,C000,P012,1,18000,50000,PRM009,2500,momo
TXN00010,2025-09-28,10:10:34,S02,POS_1,C000,P013,1,22000,20000,PRM009,1000,momo
TXN00011,2025-07-12,9:45:13,S01,POS_2,C000,P001,2,22000,40000,NULL,0,momo
TXN00012,2025-11-01,9:26:01,S01,POS_2,C000,P001,2,22000,40000,NULL,0,zalopay
TXN00013,2025-07-08,7:47:12,S01,POS_2,C000,P016,1,18000,50000,NULL,0,zalopay
TXN00013,2025-07-08,10:33:48,S01,POS_2,C000,P012,1,18000,10000,NULL,0,zalopay
TXN00014,2025-12-19,9:54:17,S01,POS_2,C003,P012,2,18000,20000,NULL,0,cash
TXN00015,2025-10-19,8:01:27,S03,POS_1,C000,P017,3,9000,30000,NULL,0,zalopay
TXN00016,2025-05-02,10:45:04,S03,POS_1,C000,P001,3,22000,150000,NULL,0,cash
TXN00016,2025-05-02,9:42:17,S03,POS_1,C000,P017,3,9000,90000,NULL,0,cash
TXN00017,2025-05-31,9:04:24,S03,POS_1,C000,P001,3,22000,150000,PRM010,7000,zalopay
TXN00018,2025-11-06,8:51:52,S04,POS_1,C000,P013,3,22000,30000,NULL,0,card
TXN00019,2025-11-17,8:49:12,S03,POS_1,C000,P013,1,22000,40000,NULL,0,momo
TXN00019,2025-11-17,7:25:04,S03,POS_1,C000,P017,2,9000,40000,NULL,0,momo
TXN00020,2025-04-09,10:07:03,S01,POS_1,C002,P013,3,22000,60000,NULL,0,momo
TXN00021,2025-08-23,7:01:45,S01,POS_2,C002,P016,1,18000,30000,NULL,0,momo
TXN00022,2025-06-04,10:54:31,S03,POS_1,C001,P012,1,18000,20000,NULL,0,cash
TXN00023,2025-02-11,8:03:01,S05,POS_1,C000,P012,2,18000,80000,NULL,0,momo
TXN00023,2025-02-11,9:16:05,S05,POS_1,C000,P016,3,18000,60000,NULL,0,momo
TXN00024,2025-03-14,10:47:03,S05,POS_1,C000,P017,3,9000,60000,PRM010,7000,zalopay
TXN00025,2025-01-17,9:03:08,S02,POS_1,C000,P016,1,18000,20000,PRM001,5000,card
TXN00026,2025-01-22,10:25:40,S04,POS_1,C000,P017,1,9000,50000,PRM001,5000,momo
TXN00027,2025-09-09,8:48:12,S02,POS_1,C000,P017,1,9000,10000,NULL,0,momo
TXN00028,2025-04-11,7:43:36,S03,POS_1,C000,P016,2,18000,80000,NULL,0,zalopay
TXN00029,2025-12-28,9:26:50,S02,POS_1,C000,P017,1,9000,30000,NULL,0,cash
TXN00030,2025-08-31,7:16:35,S03,POS_2,C000,P017,1,9000,50000,NULL,0,zalopay
TXN00031,2025-03-14,8:15:22,S02,POS_1,C002,P017,2,9000,40000,PRM010,7000,momo
TXN00032,2025-09-15,8:23:55,S03,POS_2,C000,P001,1,22000,30000,NULL,0,cash
TXN00032,2025-09-15,8:32:00,S03,POS_2,C000,P017,1,9000,10000,NULL,0,cash
TXN00032,2025-09-15,10:03:48,S03,POS_2,C000,P007,3,22000,90000,NULL,0,cash
TXN00032,2025-09-15,7:33:05,S03,POS_2,C000,P001,1,22000,30000,NULL,0,cash
TXN00033,2025-03-16,8:24:00,S04,POS_1,C000,P001,2,22000,40000,PRM001,5000,zalopay
TXN00034,2025-05-09,8:18:55,S01,POS_2,C002,P007,3,22000,90000,PRM010,7000,zalopay
TXN00035,2025-12-09,7:13:38,S01,POS_2,C003,P016,1,18000,40000,NULL,0,card
TXN00036,2025-07-29,8:14:53,S03,POS_2,C000,P013,2,22000,60000,NULL,0,card
TXN00036,2025-07-29,8:45:05,S03,POS_2,C000,P007,1,22000,30000,NULL,0,card
TXN00036,2025-07-29,8:38:22,S03,POS_2,C000,P016,1,18000,30000,NULL,0,card
TXN00036,2025-07-29,10:55:12,S03,POS_2,C000,P007,2,22000,80000,NULL,0,card
TXN00036,2025-07-29,7:52:05,S03,POS_2,C000,P001,3,22000,30000,NULL,0,card
TXN00037,2025-12-11,8:38:42,S03,POS_2,C000,P013,1,22000,10000,NULL,0,cash
TXN00038,2025-07-31,7:27:08,S02,POS_1,C001,P013,1,22000,50000,NULL,0,zalopay
TXN00039,2025-05-10,7:15:13,S04,POS_1,C000,P016,2,18000,40000,PRM010,7000,momo
TXN00040,2025-08-14,10:50:02,S04,POS_2,C003,P017,2,9000,60000,NULL,0,zalopay
TXN00040,2025-08-14,10:32:36,S04,POS_2,C003,P012,2,18000,60000,NULL,0,zalopay
TXN00041,2025-07-03,10:33:14,S05,POS_1,C000,P016,2,18000,20000,NULL,0,card
TXN00042,2025-04-29,9:13:53,S03,POS_1,C000,P016,2,18000,60000,NULL,0,card
TXN00042,2025-04-29,10:55:40,S03,POS_1,C000,P001,3,22000,120000,NULL,0,card
TXN00043,2025-05-09,8:07:40,S04,POS_1,C000,P007,1,22000,50000,PRM010,7000,zalopay
TXN00044,2025-12-08,7:26:51,S04,POS_1,C002,P012,3,18000,30000,NULL,0,card
TXN00045,2025-01-27,9:14:25,S02,POS_2,C000,P013,1,22000,20000,NULL,0,momo
TXN00046,2025-04-22,7:48:51,S03,POS_2,C000,P007,3,22000,30000,NULL,0,momo
TXN00047,2025-07-26,10:18:23,S02,POS_2,C000,P001,2,22000,20000,NULL,0,cash
TXN00048,2025-12-07,10:00:26,S02,POS_2,C000,P017,2,9000,20000,NULL,0,momo
TXN00048,2025-12-07,8:38:02,S02,POS_2,C000,P013,2,22000,20000,NULL,0,momo
TXN00049,2025-05-21,7:32:13,S01,POS_1,C002,P013,2,22000,40000,PRM010,7000,momo
TXN00049,2025-05-21,7:54:49,S01,POS_1,C002,P001,1,22000,50000,PRM010,7000,momo
TXN00050,2025-09-01,7:31:34,S03,POS_2,C000,P016,3,18000,150000,NULL,0,card
TXN00050,2025-09-01,7:16:03,S03,POS_2,C000,P007,2,22000,100000,NULL,0,card
TXN00051,2025-07-25,9:01:39,S04,POS_2,C000,P017,2,9000,80000,NULL,0,cash
TXN00052,2025-11-29,7:17:31,S02,POS_2,C003,P007,1,22000,20000,NULL,0,card
TXN00052,2025-11-29,7:45:07,S02,POS_2,C003,P012,3,18000,120000,NULL,0,card
TXN00053,2025-07-03,8:13:15,S01,POS_2,C000,P001,2,22000,80000,NULL,0,card
TXN00054,2025-03-14,7:52:07,S05,POS_1,C000,P001,2,22000,60000,PRM001,5000,zalopay
TXN00055,2025-07-14,7:48:21,S04,POS_2,C003,P012,1,18000,30000,NULL,0,cash
TXN00056,2025-05-16,10:38:09,S05,POS_2,C003,P013,2,22000,40000,NULL,0,zalopay
TXN00056,2025-05-16,8:18:52,S05,POS_2,C003,P013,1,22000,40000,NULL,0,zalopay
TXN00057,2025-05-10,7:09:21,S05,POS_1,C002,P017,1,9000,40000,NULL,0,cash
TXN00058,2025-06-13,8:14:30,S04,POS_1,C000,P012,3,18000,150000,PRM010,7000,cash
TXN00058,2025-06-13,8:22:58,S04,POS_1,C000,P012,2,18000,60000,PRM010,7000,cash
TXN00059,2025-05-04,10:59:09,S05,POS_1,C000,P001,1,22000,30000,NULL,0,momo
TXN00060,2025-06-01,9:47:54,S03,POS_2,C000,P001,3,22000,120000,NULL,0,card
TXN00061,2025-07-12,9:53:10,S04,POS_1,C000,P016,2,18000,20000,NULL,0,zalopay
TXN00062,2025-06-02,7:05:03,S03,POS_2,C000,P013,3,22000,90000,NULL,0,zalopay
TXN00062,2025-06-02,8:26:39,S03,POS_2,C000,P017,2,9000,20000,NULL,0,zalopay
TXN00062,2025-06-02,10:12:36,S03,POS_2,C000,P016,2,18000,20000,NULL,0,zalopay
TXN00062,2025-06-02,8:24:34,S03,POS_2,C000,P013,3,22000,150000,NULL,0,zalopay
TXN00063,2025-02-10,7:10:41,S02,POS_2,C000,P016,1,18000,10000,NULL,0,zalopay
TXN00064,2025-03-29,9:05:09,S01,POS_1,C002,P012,2,18000,80000,NULL,0,zalopay
TXN00065,2025-03-27,10:49:31,S02,POS_2,C000,P001,2,22000,20000,NULL,0,cash
TXN00065,2025-03-27,9:20:12,S02,POS_2,C000,P012,1,18000,50000,NULL,0,cash
TXN00066,2025-08-30,10:24:05,S04,POS_1,C000,P017,2,9000,80000,NULL,0,momo
TXN00067,2025-05-10,7:45:44,S03,POS_2,C000,P012,2,18000,40000,PRM010,7000,cash
TXN00067,2025-05-10,8:15:08,S03,POS_2,C000,P017,1,9000,10000,PRM010,7000,cash
TXN00068,2025-10-09,10:50:28,S04,POS_1,C000,P012,3,18000,90000,NULL,0,cash
TXN00069,2025-08-09,7:03:25,S05,POS_1,C000,P007,3,22000,120000,NULL,0,zalopay
TXN00069,2025-08-09,7:43:57,S05,POS_1,C000,P013,1,22000,40000,NULL,0,zalopay
TXN00070,2025-05-29,8:18:23,S02,POS_1,C001,P001,1,22000,10000,PRM010,7000,momo
TXN00070,2025-05-29,9:48:20,S02,POS_1,C001,P001,2,22000,40000,PRM010,7000,momo
TXN00071,2025-12-16,7:04:20,S03,POS_1,C000,P013,2,22000,40000,NULL,0,zalopay
TXN00072,2025-04-28,7:24:19,S04,POS_1,C002,P016,3,18000,90000,NULL,0,card
TXN00072,2025-04-28,10:49:02,S04,POS_1,C002,P001,2,22000,80000,NULL,0,card
TXN00073,2025-03-07,8:41:13,S02,POS_1,C000,P001,3,22000,120000,NULL,0,momo
TXN00073,2025-03-07,10:45:39,S02,POS_1,C000,P007,3,22000,120000,NULL,0,momo
TXN00074,2025-05-05,8:56:53,S04,POS_2,C000,P007,3,22000,120000,NULL,0,card
TXN00075,2025-09-15,10:04:30,S01,POS_2,C002,P016,2,18000,20000,NULL,0,momo
TXN00076,2025-12-31,10:28:47,S04,POS_1,C000,P017,1,9000,50000,NULL,0,cash
TXN00077,2025-08-07,8:52:57,S03,POS_1,C000,P016,3,18000,150000,NULL,0,card
TXN00078,2025-08-15,10:41:50,S04,POS_1,C000,P012,3,18000,30000,NULL,0,card
TXN00079,2025-12-27,10:56:27,S01,POS_1,C002,P013,2,22000,80000,NULL,0,zalopay
TXN00080,2025-10-15,7:38:44,S05,POS_2,C003,P012,2,18000,40000,NULL,0,card
TXN00081,2025-07-21,10:06:37,S04,POS_2,C000,P001,2,22000,20000,NULL,0,cash
TXN00082,2025-05-03,9:49:20,S02,POS_1,C001,P017,1,9000,50000,PRM010,7000,zalopay
TXN00083,2025-08-28,10:50:02,S04,POS_2,C000,P007,3,22000,60000,NULL,0,zalopay
TXN00084,2025-08-23,7:43:43,S05,POS_2,C000,P012,2,18000,60000,NULL,0,cash
TXN00085,2025-03-20,8:45:50,S01,POS_1,C003,P012,1,18000,50000,NULL,0,cash
TXN00086,2025-01-15,10:46:14,S05,POS_1,C003,P001,2,22000,40000,NULL,0,card
TXN00087,2025-11-24,8:40:46,S04,POS_2,C000,P013,1,22000,40000,NULL,0,zalopay
TXN00088,2025-06-12,7:10:41,S01,POS_1,C000,P016,3,18000,30000,PRM010,7000,zalopay
TXN00089,2025-02-17,8:30:00,S02,POS_2,C000,P007,3,22000,150000,NULL,0,card
TXN00090,2025-11-23,9:55:56,S03,POS_2,C000,P001,1,22000,50000,NULL,0,zalopay
TXN00090,2025-11-23,8:40:26,S03,POS_2,C000,P007,1,22000,30000,NULL,0,zalopay
TXN00090,2025-11-23,10:28:39,S03,POS_2,C000,P017,3,9000,60000,NULL,0,zalopay
TXN00090,2025-11-23,10:09:18,S03,POS_2,C000,P013,1,22000,40000,NULL,0,zalopay
TXN00090,2025-11-23,10:55:51,S03,POS_2,C000,P013,2,22000,60000,NULL,0,zalopay
TXN00090,2025-11-23,7:46:25,S03,POS_2,C000,P007,2,22000,40000,NULL,0,zalopay
TXN00091,2025-05-15,7:46:47,S05,POS_1,C000,P016,3,18000,150000,NULL,0,cash
TXN00092,2025-10-18,9:56:51,S04,POS_1,C000,P007,2,22000,60000,NULL,0,momo
TXN00093,2025-06-25,9:21:25,S02,POS_1,C000,P016,3,18000,30000,PRM010,7000,zalopay
TXN00094,2025-01-20,9:29:04,S02,POS_2,C000,P016,3,18000,60000,NULL,0,cash
TXN00095,2025-11-12,10:43:44,S01,POS_2,C002,P012,1,18000,20000,NULL,0,card
TXN00095,2025-11-12,10:51:43,S01,POS_2,C002,P016,1,18000,10000,NULL,0,card
TXN00096,2025-07-25,8:28:43,S02,POS_2,C000,P007,2,22000,80000,NULL,0,card
TXN00097,2025-03-21,8:43:16,S02,POS_1,C000,P016,1,18000,30000,PRM001,5000,momo
TXN00098,2025-05-23,9:06:52,S04,POS_1,C000,P001,3,22000,120000,NULL,0,cash
TXN00099,2025-05-29,10:51:18,S03,POS_2,C003,P001,2,22000,40000,NULL,0,momo
TXN00100,2025-06-16,7:54:22,S04,POS_1,C001,P001,3,22000,120000,PRM010,7000,cash
TXN00101,2025-11-23,10:08:45,S04,POS_2,C003,P012,2,18000,80000,NULL,0,momo
TXN00102,2025-04-08,7:17:46,S01,POS_1,C000,P017,3,9000,30000,PRM010,7000,cash
TXN00102,2025-04-08,7:36:07,S01,POS_1,C000,P016,1,18000,10000,PRM010,7000,cash
TXN00103,2025-02-22,9:32:43,S05,POS_2,C002,P012,2,18000,80000,NULL,0,card
TXN00103,2025-02-22,8:07:25,S05,POS_2,C002,P013,2,22000,40000,NULL,0,card
TXN00104,2025-10-17,8:28:50,S01,POS_1,C000,P012,2,18000,80000,NULL,0,card
TXN00104,2025-10-17,8:54:37,S01,POS_1,C000,P017,3,9000,60000,NULL,0,card
TXN00104,2025-10-17,7:52:54,S01,POS_1,C000,P007,2,22000,40000,NULL,0,card
TXN00104,2025-10-17,10:47:24,S01,POS_1,C000,P016,1,18000,20000,NULL,0,card
TXN00104,2025-10-17,9:23:49,S01,POS_1,C000,P016,2,18000,100000,NULL,0,card
TXN00105,2025-11-06,10:31:48,S05,POS_1,C002,P012,3,18000,150000,NULL,0,card
TXN00105,2025-11-06,7:53:48,S05,POS_1,C002,P012,3,18000,120000,NULL,0,card
TXN00106,2025-09-28,10:31:59,S01,POS_2,C000,P013,2,22000,20000,NULL,0,card
TXN00107,2025-08-18,10:51:12,S04,POS_1,C003,P016,1,18000,20000,NULL,0,zalopay
TXN00108,2025-11-01,7:41:02,S04,POS_2,C000,P017,2,9000,80000,NULL,0,card
TXN00109,2025-04-04,8:19:02,S04,POS_1,C000,P007,2,22000,40000,PRM010,7000,cash
TXN00109,2025-04-04,8:52:32,S04,POS_1,C000,P017,1,9000,20000,PRM010,7000,cash
TXN00109,2025-04-04,8:40:05,S04,POS_1,C000,P013,2,22000,80000,PRM010,7000,cash
TXN00109,2025-04-04,8:08:14,S04,POS_1,C000,P013,2,22000,20000,PRM010,7000,cash
TXN00109,2025-04-04,7:32:01,S04,POS_1,C000,P016,2,18000,100000,PRM010,7000,cash
TXN00110,2025-03-13,7:38:37,S01,POS_1,C000,P017,3,9000,90000,NULL,0,card
TXN00110,2025-03-13,9:26:18,S01,POS_1,C000,P007,3,22000,30000,NULL,0,card
TXN00111,2025-03-17,7:47:01,S05,POS_1,C000,P007,3,22000,90000,NULL,0,cash
TXN00112,2025-04-10,8:00:16,S01,POS_1,C000,P007,1,22000,50000,PRM010,7000,momo
TXN00113,2025-02-28,8:19:17,S02,POS_1,C000,P007,3,22000,60000,PRM001,5000,card
TXN00114,2025-05-19,9:11:41,S05,POS_1,C001,P012,3,18000,120000,NULL,0,momo
TXN00115,2025-07-03,8:03:43,S02,POS_2,C003,P001,2,22000,100000,NULL,0,momo
